Scenario,Algorithm,Run_ID,Num_Cities,Final_Cost,Execution_Time_Sec,Status
File-yemen.csv,ACO,1,20,4528.2821,24.7574,Completed
File-yemen.csv,ACO,2,20,4528.2821,26.6845,Completed
File-yemen.csv,ACO,3,20,4528.2821,51.4252,Completed
File-yemen.csv,ACO,4,20,4528.2821,52.0242,Completed
File-yemen.csv,ACO,5,20,4528.2821,52.3486,Completed
File-yemen.csv,GA,1,20,4648.8328,0.8147,Completed
File-yemen.csv,GA,2,20,4706.2561,0.7168,Completed
File-yemen.csv,GA,3,20,4641.2553,0.8773,Completed
File-yemen.csv,GA,4,20,4662.6993,0.7705,Completed
File-yemen.csv,GA,5,20,4670.2495,0.7671,Completed
File-yemen.csv,PSO,1,20,5686.4621,0.339,Completed
File-yemen.csv,PSO,2,20,5000.7885,0.3213,Completed
File-yemen.csv,PSO,3,20,5691.0607,0.3329,Completed
File-yemen.csv,PSO,4,20,5797.8235,0.3397,Completed
File-yemen.csv,PSO,5,20,5705.189,0.3388,Completed
File-sample_cities.csv,ACO,1,10,132.0271,5.7158,Completed
File-sample_cities.csv,ACO,2,10,132.0271,5.7396,Completed
File-sample_cities.csv,ACO,3,10,132.0271,6.5444,Completed
File-sample_cities.csv,ACO,4,10,132.0271,5.6928,Completed
File-sample_cities.csv,ACO,5,10,132.0271,6.1161,Completed
File-sample_cities.csv,GA,1,10,132.0271,0.5829,Completed
File-sample_cities.csv,GA,2,10,132.0271,0.4827,Completed
File-sample_cities.csv,GA,3,10,132.0271,0.5426,Completed
File-sample_cities.csv,GA,4,10,132.0271,0.5552,Completed
File-sample_cities.csv,GA,5,10,132.0271,0.5554,Completed
File-sample_cities.csv,PSO,1,10,132.0271,0.2718,Completed
File-sample_cities.csv,PSO,2,10,142.0601,0.3292,Completed
File-sample_cities.csv,PSO,3,10,135.5679,0.2833,Completed
File-sample_cities.csv,PSO,4,10,132.0271,0.2802,Completed
File-sample_cities.csv,PSO,5,10,132.0271,0.2373,Completed
